ADIDU,no_corr,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
24870063,0,1,1,30,47,40,50,41,45,36,11
24870064,0,1,3,46,67,58,68,62,55,34,11
24870065,0,0,5,25,45,48,40,42,41,31,13
24870066,0,0,4,35,46,27,32,41,42,23,8
24870067,0,0,4,40,49,36,35,44,48,24,16
24870068,0,1,2,31,43,40,36,27,56,20,16
24870069,0,1,4,50,77,49,39,64,62,47,18
24870075,0,1,5,78,79,80,53,72,69,66,26
24870076,0,1,5,49,56,51,44,49,58,41,19
24870077,0,1,4,41,47,43,37,41,48,35,16
24870078,0,1,6,48,55,51,45,50,58,41,18
24870080,0,1,0,46,59,50,50,46,56,38,26
24870081,0,0,5,53,55,41,38,54,49,36,15
24870082,0,0,4,50,52,39,36,52,47,34,15
24870083,0,1,5,28,32,40,31,42,46,34,16
24870084,0,0,2,45,47,36,32,44,51,41,14
24870085,0,1,4,78,65,66,58,81,82,66,32
24870086,0,0,0,0,0,0,0,0,0,0,0
24870088,0,0,3,33,40,31,27,33,35,27,12
24870090,0,0,1,9,10,10,6,10,8,8,4
24870091,0,0,3,29,34,32,25,26,37,34,20
24870093,0,0,3,40,45,44,28,45,35,34,19
24870094,0,0,4,53,60,58,37,60,47,46,26
24870096,0,0,2,48,63,47,50,55,58,54,22
24870097,0,0,3,55,73,55,59,64,68,63,25
24870098,0,0,3,73,96,72,77,84,89,83,33
24870099,0,0,3,54,71,55,58,64,66,63,24
24880047,0,0,0,3,3,3,2,4,3,3,2
24880048,0,0,3,18,16,17,12,22,18,19,9
24880049,0,0,0,21,29,13,22,17,38,25,15
24880050,0,0,0,13,19,15,14,7,13,12,13
24880051,0,1,3,51,62,38,53,62,49,58,26
24880052,0,0,3,42,51,32,44,51,41,48,22
24880053,0,0,3,42,52,32,44,52,41,48,22
24880054,0,1,3,49,60,37,51,61,48,56,26
24880055,1,0,9,73,116,79,75,81,102,81,31
24880056,0,0,1,62,54,45,44,52,49,42,18
24880057,0,0,6,61,96,88,93,91,96,83,40
24880058,0,1,4,44,39,42,44,43,53,41,24
24880059,0,0,3,48,42,46,38,36,44,29,5
24880060,0,0,4,28,43,29,27,34,17,25,7
24880061,0,0,0,48,52,39,37,30,33,18,9
24880062,0,0,5,46,62,41,41,41,32,25,12
24880063,0,0,1,40,40,30,40,25,35,26,11
24880064,0,1,4,44,52,33,28,39,28,17,9
24880065,0,2,5,55,58,37,42,40,44,32,6
24880066,0,0,5,48,55,42,37,36,37,27,6
24880067,0,1,1,50,55,44,43,29,32,25,9
24880068,0,1,7,29,43,37,36,38,40,22,9
24880069,0,1,6,83,81,71,74,69,89,66,34
24880070,0,1,4,27,29,26,29,30,41,33,12
24880071,0,0,7,53,56,50,58,57,81,65,23
