import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 5.014782117362005 Mtonnes de CO2

on part de 5.014782117362005 et on veut 1.9822 (diminution de 60.47285896754525%)

2.121321652440977 Mtonnes encore à gagner
2.120573220138242 Mtonnes encore à gagner
2.1204609879539476 Mtonnes encore à gagner
2.1169719054970333 Mtonnes encore à gagner
2.1110570814552485 Mtonnes encore à gagner
2.105059464870684 Mtonnes encore à gagner
2.098551483780957 Mtonnes encore à gagner
2.0933202578344323 Mtonnes encore à gagner
2.0933202578344323 Mtonnes encore à gagner
2.0909395175903063 Mtonnes encore à gagner
2.082219964154988 Mtonnes encore à gagner
2.076279550298577 Mtonnes encore à gagner
2.0654325591989755 Mtonnes encore à gagner
2.0636976764819073 Mtonnes encore à gagner
2.0636443242657805 Mtonnes encore à gagner
2.0636443242657805 Mtonnes encore à gagner
2.0593110618388577 Mtonnes encore à gagner
2.048379701840335 Mtonnes encore à gagner
2.040318312989971 Mtonnes encore à gagner
2.017165382705433 Mtonnes encore à gagner
2.015908874525339 Mtonnes encore à gagner
2.0133581382115207 Mtonnes encore à gagner
2.012777784257036 Mtonnes encore à gagner
2.0126713033158943 Mtonnes encore à gagner
2.0074101389283925 Mtonnes encore à gagner
2.0074101389283925 Mtonnes encore à gagner
2.005859570682045 Mtonnes encore à gagner
2.0030584998794563 Mtonnes encore à gagner
1.980570751575539 Mtonnes encore à gagner
1.980570751575539 Mtonnes encore à gagner
1.9761162088351825 Mtonnes encore à gagner
1.9759920468556234 Mtonnes encore à gagner
1.9753114020782767 Mtonnes encore à gagner
1.9745656941047993 Mtonnes encore à gagner
1.9736939978283614 Mtonnes encore à gagner
1.9736939978283614 Mtonnes encore à gagner
1.96831300507345 Mtonnes encore à gagner
1.96831300507345 Mtonnes encore à gagner
1.9675494650064558 Mtonnes encore à gagner
1.94596225413116 Mtonnes encore à gagner
1.9422813942535118 Mtonnes encore à gagner
1.9376412152215041 Mtonnes encore à gagner
1.935037529084582 Mtonnes encore à gagner
1.9320381569148382 Mtonnes encore à gagner
1.9319747692927296 Mtonnes encore à gagner
1.9271798552375679 Mtonnes encore à gagner
1.9142753795843184 Mtonnes encore à gagner
1.906911879084338 Mtonnes encore à gagner
1.898364046545171 Mtonnes encore à gagner
1.89791758834381 Mtonnes encore à gagner
1.89517159360015 Mtonnes encore à gagner
1.8949930202888237 Mtonnes encore à gagner
1.8948877781691718 Mtonnes encore à gagner
1.8881240603953133 Mtonnes encore à gagner
1.879114070133831 Mtonnes encore à gagner
1.8734388929020176 Mtonnes encore à gagner
1.8731147072538057 Mtonnes encore à gagner
1.8731147072538057 Mtonnes encore à gagner
1.8620772159835484 Mtonnes encore à gagner
1.85321844230376 Mtonnes encore à gagner
1.8352933805516123 Mtonnes encore à gagner
1.8339084844338494 Mtonnes encore à gagner
1.8298189189644984 Mtonnes encore à gagner
1.8138307349435363 Mtonnes encore à gagner
1.80805062384975 Mtonnes encore à gagner
1.802666883104861 Mtonnes encore à gagner
1.7963753456637022 Mtonnes encore à gagner
1.7959577176083041 Mtonnes encore à gagner
1.7958493984629815 Mtonnes encore à gagner
1.7660687706275782 Mtonnes encore à gagner
1.7610920379796278 Mtonnes encore à gagner
1.7501358472689426 Mtonnes encore à gagner
1.7486667821205535 Mtonnes encore à gagner
1.7407846291340643 Mtonnes encore à gagner
1.7355272063357121 Mtonnes encore à gagner
1.7342056619045112 Mtonnes encore à gagner
1.72078104173169 Mtonnes encore à gagner
1.720749962281794 Mtonnes encore à gagner
1.7045704624210793 Mtonnes encore à gagner
1.700175461127097 Mtonnes encore à gagner
1.6967735114247102 Mtonnes encore à gagner
1.6961101931121412 Mtonnes encore à gagner
1.6952364653698428 Mtonnes encore à gagner
1.68863652685821 Mtonnes encore à gagner
1.681825862532493 Mtonnes encore à gagner
1.6806975307998873 Mtonnes encore à gagner
1.6774969095183299 Mtonnes encore à gagner
1.6767691954939885 Mtonnes encore à gagner
1.6581683419129922 Mtonnes encore à gagner
1.6581683419129922 Mtonnes encore à gagner
1.652409216132568 Mtonnes encore à gagner
1.6523120928878139 Mtonnes encore à gagner
1.6474079647920299 Mtonnes encore à gagner
1.6408870806293672 Mtonnes encore à gagner
1.6380694854817686 Mtonnes encore à gagner
1.637961197188185 Mtonnes encore à gagner
1.6361198699164616 Mtonnes encore à gagner
1.6260723450017254 Mtonnes encore à gagner
1.625450406198209 Mtonnes encore à gagner
1.6248931609463064 Mtonnes encore à gagner
1.596135325581353 Mtonnes encore à gagner
1.5842095731557915 Mtonnes encore à gagner
1.5760396500430371 Mtonnes encore à gagner
1.5731670129423272 Mtonnes encore à gagner
1.5708398523553189 Mtonnes encore à gagner
1.5703436326546159 Mtonnes encore à gagner
1.5632576174885495 Mtonnes encore à gagner
1.5563016642246275 Mtonnes encore à gagner
1.546996024618885 Mtonnes encore à gagner
1.5468013874820314 Mtonnes encore à gagner
1.5432135760939862 Mtonnes encore à gagner
1.5387550406103172 Mtonnes encore à gagner
1.531180692586967 Mtonnes encore à gagner
1.5257162453521291 Mtonnes encore à gagner
1.5232477532266813 Mtonnes encore à gagner
1.5228101609751608 Mtonnes encore à gagner
1.5212389864845115 Mtonnes encore à gagner
1.5212389864845115 Mtonnes encore à gagner
1.5114321787423448 Mtonnes encore à gagner
1.5045904828740377 Mtonnes encore à gagner
1.4985043339060111 Mtonnes encore à gagner
1.498441690343108 Mtonnes encore à gagner
1.4976544924426676 Mtonnes encore à gagner
1.4901630883942902 Mtonnes encore à gagner
1.4819846730054256 Mtonnes encore à gagner
1.4762869865121153 Mtonnes encore à gagner
1.4748499687773233 Mtonnes encore à gagner
1.4565351425860371 Mtonnes encore à gagner
1.4564209012141596 Mtonnes encore à gagner
1.4492884864605038 Mtonnes encore à gagner
1.4492723554434959 Mtonnes encore à gagner
1.448503344026012 Mtonnes encore à gagner
1.4461514173194632 Mtonnes encore à gagner
1.4454395771882564 Mtonnes encore à gagner
1.44247453982936 Mtonnes encore à gagner
1.441846652623828 Mtonnes encore à gagner
1.4403507050747872 Mtonnes encore à gagner
1.4177859155714836 Mtonnes encore à gagner
1.4177380213473245 Mtonnes encore à gagner
1.4132501142425455 Mtonnes encore à gagner
1.392659739706324 Mtonnes encore à gagner
1.3863242507100264 Mtonnes encore à gagner
1.3853182599404799 Mtonnes encore à gagner
1.3830049180830815 Mtonnes encore à gagner
1.3651600279483664 Mtonnes encore à gagner
1.361953465382529 Mtonnes encore à gagner
1.3460129574322315 Mtonnes encore à gagner
1.342101206687124 Mtonnes encore à gagner
1.3420733855096623 Mtonnes encore à gagner
1.3350172485269118 Mtonnes encore à gagner
1.307518413401456 Mtonnes encore à gagner
1.3054103454701236 Mtonnes encore à gagner
1.304236810783017 Mtonnes encore à gagner
1.3041970532772684 Mtonnes encore à gagner
1.2997788088456808 Mtonnes encore à gagner
1.2872915471978559 Mtonnes encore à gagner
1.2793298383318883 Mtonnes encore à gagner
1.2716602166797648 Mtonnes encore à gagner
1.271612375749082 Mtonnes encore à gagner
1.270922046920249 Mtonnes encore à gagner
1.26696806563771 Mtonnes encore à gagner
1.2616623261373634 Mtonnes encore à gagner
1.2450038395712852 Mtonnes encore à gagner
1.2378079516030371 Mtonnes encore à gagner
1.2362382309591962 Mtonnes encore à gagner
1.2199087170656788 Mtonnes encore à gagner
1.2080664537067805 Mtonnes encore à gagner
1.2070594999060182 Mtonnes encore à gagner
1.2024042387373284 Mtonnes encore à gagner
1.1584322137808416 Mtonnes encore à gagner
1.1562337576910544 Mtonnes encore à gagner
1.1506414766222 Mtonnes encore à gagner
1.1494092841265837 Mtonnes encore à gagner
1.1477611687604734 Mtonnes encore à gagner
1.1420253462213525 Mtonnes encore à gagner
1.1271322730273143 Mtonnes encore à gagner
1.1212246203692586 Mtonnes encore à gagner
1.1212198256762165 Mtonnes encore à gagner
1.1179673306461344 Mtonnes encore à gagner
1.1148104332111262 Mtonnes encore à gagner
1.0860087916537056 Mtonnes encore à gagner
1.0833641478540519 Mtonnes encore à gagner
1.0792061232189634 Mtonnes encore à gagner
1.073668547357429 Mtonnes encore à gagner
1.0662381050142116 Mtonnes encore à gagner
1.0609082707314503 Mtonnes encore à gagner
